image_name,xmin,xmax,ymin,ymax,class_id
4_0_58_2018_04_men_48_2_aug_1768.jpg,200,740,7,111,1
3_0_51_2018_04_men_5185_2_aug_6335.jpg,466,1262,4,195,1
8_0_94_2018_04_men_949_1_aug_2735.jpg,332,1032,1,165,1
18_0_90_2018_04_men_999_2_aug_5506.jpg,281,1037,30,247,1
10_0_64_2018_04_men_1844_1_aug_4881.jpg,297,715,19,141,1
10_0_64_2018_04_men_1844_1_aug_6391.jpg,310,728,11,133,1
10_0_64_2018_04_men_1844_1_aug_6943.jpg,381,800,7,137,1
4_0_62_2018_04_men_2790_1_aug_2286.jpg,282,991,12,142,1
10_0_80_2018_04_men_3467_2_aug_1268.jpg,337,1292,1,182,1
10_0_80_2018_04_men_3467_2_aug_1365.jpg,113,1074,1,213,1
10_0_80_2018_04_men_3467_2_aug_1434.jpg,250,1211,1,213,1
10_0_80_2018_04_men_3467_2_aug_1504.jpg,361,1319,1,213,1
10_0_94_2018_04_men_2395_2_aug_5610.jpg,333,1253,12,225,1
3_1_00_2018_04_men_4830_2_aug_1834.jpg,125,676,11,126,1
3_0_99_2018_04_men_3980_2_aug_1312.jpg,86,1051,1,250,1
10_0_80_2018_04_men_3467_2_aug_5880.jpg,178,1133,23,213,1
10_1_00_2018_04_men_3970_2_aug_2464.jpg,183,839,1,208,1
5_0_99_2018_04_men_2794_1_aug_6460.jpg,332,923,42,208,1
3_0_69_2018_04_men_1424_1_aug_6953.jpg,203,1068,1,195,1
10_0_91_2018_04_men_2394_2_aug_1381.jpg,29,715,7,201,1
3_0_59_2018_04_men_2928_2_aug_4584.jpg,240,714,7,94,1
3_1_00_2018_04_men_5395_1_aug_209.jpg,134,556,1,129,1
3_0_67_2018_04_men_3002_2_aug_3172.jpg,256,888,1,132,1
10_0_91_2018_04_men_2394_2_aug_5358.jpg,1,646,1,195,1
1_0_89_2018_04_men_2841_2_aug_2075.jpg,199,959,10,160,1
8_0_94_2018_04_men_949_1_aug_3389.jpg,397,1097,16,181,1
3_0_77_2018_04_men_2862_2_aug_1291.jpg,233,1189,16,222,1
10_0_94_2018_04_men_2395_2_aug_3109.jpg,222,1139,1,194,1
10_0_94_2018_04_men_2395_2_aug_3628.jpg,245,1165,1,191,1
10_0_94_2018_04_men_2395_2_aug_553.jpg,139,1059,8,221,1
5_0_80_2018_04_men_4703_1_aug_6316.jpg,171,599,20,154,1
10_0_94_2018_04_men_2395_2_aug_6025.jpg,405,1322,1,189,1
1_0_41_2018_04_men_5256_1_aug_3222.jpg,252,857,1,161,1
8_0_57_2018_04_men_4170_2_aug_1659.jpg,236,1051,3,203,1
4_0_58_2018_04_men_952_2_aug_146.jpg,374,1239,8,177,1
1_0_46_2018_04_men_5158_1_aug_4975.jpg,147,801,21,168,1
5_0_49_2018_04_men_2383_2_aug_3442.jpg,495,1029,1,147,1
4_0_64_2018_04_men_3199_1_aug_1623.jpg,580,930,4,87,1
17_0_93_2018_04_men_3152_2_aug_6302.jpg,285,1303,16,232,1
10_0_95_2018_04_men_4170_2_aug_3327.jpg,134,1057,1,253,1
1_0_84_2018_04_men_1474_2_aug_2753.jpg,307,984,10,151,1
3_0_98_2018_04_men_2187_2_aug_6528.jpg,340,913,39,158,1
3_0_99_2018_04_men_649_2_aug_5443.jpg,183,1173,20,212,1
3_1_00_2018_04_men_2940_1_aug_6815.jpg,193,834,1,153,1
1_0_57_2018_04_men_1556_2_aug_4821.jpg,88,721,4,141,1
4_0_86_2018_04_men_2851_1_aug_5791.jpg,197,946,7,158,1
10_0_98_2018_04_men_2395_2_aug_5122.jpg,133,1051,5,217,1
3_1_00_2018_04_men_4189_2_aug_685.jpg,348,901,59,196,1
6_1_00_2018_04_men_2013_2_aug_1474.jpg,288,837,58,208,1
1_0_50_2018_04_men_5453_2_aug_1201.jpg,331,1010,30,164,1
3_0_46_2018_04_men_4851_1_aug_5957.jpg,277,1112,20,222,1
3_0_53_2018_04_men_27_2_aug_205.jpg,198,1199,1,208,1
10_0_98_2018_04_men_2395_2_aug_976.jpg,104,1022,1,206,1
3_0_79_2018_04_men_2958_2_aug_1101.jpg,249,664,8,128,1
8_1_00_2018_04_men_2810_2_aug_5369.jpg,172,801,44,196,1
10_0_99_2018_04_men_3970_2_aug_4185.jpg,223,884,12,201,1
10_0_99_2018_04_men_3970_2_aug_4771.jpg,91,746,18,194,1
3_0_94_2018_04_men_768_2_aug_4638.jpg,189,943,31,181,1
4_0_57_2018_04_men_1156_2_aug_6896.jpg,115,632,9,106,1
10_0_99_2018_04_men_3970_2_aug_987.jpg,244,899,1,174,1
1_0_86_2018_04_men_3025_2_aug_6830.jpg,320,1022,16,161,1
10_1_00_2018_04_men_2394_2_aug_1850.jpg,72,770,1,198,1
3_1_00_2018_04_men_319_2_aug_861.jpg,229,682,5,110,1
10_1_00_2018_04_men_2394_2_aug_2701.jpg,1,649,20,214,1
10_1_00_2018_04_men_2394_2_aug_3105.jpg,34,729,1,185,1
